"id","gene","category"
"GO:0031105","SEPT3","CC"
"GO:0016021","PCNX","CC"
"GO:0019215","NES","MF"
"GO:0006888","ZGC:103697","BP"
"GO:0046872","NRP2A","MF"
"GO:0046872","ZGC:113886","MF"
"GO:0046872","ACER1","MF"
"GO:0016787","HPN","MF"
"GO:0016787","ZGC:174153","MF"
"GO:0008233","CPDA","MF"
"GO:0005179","INSB","MF"
"GO:0005524","AK6","MF"
"GO:0005525","ZGC:55558","MF"
"GO:0043565","FOXO4","MF"
"GO:0046983","HER5","MF"
"GO:1902936","ZGC:92360","MF"
"GO:0005198","CLDN1","MF"
"GO:0003924","TUBA1C","MF"
"GO:0051537","FDX1","MF"
"GO:0005021","NRP1B","MF"
"GO:0003824","ZGC:101569","MF"
"GO:0004252","CU915738.1","MF"
"GO:0000981","LHX4","MF"
"GO:0046983","TWIST2","MF"
"GO:0005524","MYO6A","MF"
"GO:0017154","NRP1B","MF"
"GO:0016641","LOXL2A","MF"
"GO:0070008","HPN","MF"
"GO:0005044","LOXL2A","MF"
"GO:0005524","RAD54L","MF"
"GO:0004720","LOXL2A","MF"
"GO:0042500","PSEN2","MF"
"GO:0007399","NES","BP"
"GO:0006979","DUOX","BP"
"GO:0006355","PAX5","BP"
"GO:0016020","ZGC:153911","CC"
"GO:0005576","LUM","CC"
"GO:0016020","ZGC:174863","CC"
"GO:0016020","ZGC:112052","CC"
"GO:0016020","PCDH17","CC"
"GO:0005694","ZGC:110425","CC"
"GO:0016021","GHRB","CC"
"GO:0016021","ZGC:92275","CC"
"GO:0016021","B2M","CC"
"GO:0005737","VCL","CC"
"GO:0005576","PTN","CC"
"GO:0016020","EFNA1A","CC"
"GO:0016020","ZGC:171242","CC"
"GO:0016020","ZGC:112148","CC"
"GO:0016020","POPDC2","CC"
"GO:0005923","ZGC:154006","CC"
"GO:0016272","PFDN1","CC"
"GO:0016021","PSEN2","CC"
"GO:0031461","CUL3B","CC"
"GO:0016197","SI:CH211-233A24.2","BP"
"GO:0098609","JAM2A","BP"
"GO:0004197","USP33","MF"
"GO:0004842","ZNRF3","MF"
"GO:0016504","PSME4B","MF"
"GO:0031080","NUP85","CC"
"GO:0016616","FAM213B","MF"
"GO:0051726","WDR12","BP"
"GO:0004021","GPT2L","MF"
"GO:0003677","THAP11","MF"
"GO:2000766","RBM24A","BP"
"GO:0005856","ACTB2","CC"
"GO:0005768","FLOT2A","CC"
"GO:0005856","ANK2B","CC"
"GO:0005576","SCG3","CC"
"GO:0005524","TAOK1A","MF"
"GO:0005524","CDK8","MF"
"GO:0005879","FLR","CC"
"GO:0009880","SMAD5","BP"
"GO:0007399","PAX2A","BP"
"GO:0003677","EXO1","MF"
"GO:0046872","SI:DKEY-222F8.3","MF"
"GO:0046872","FTR86","MF"
"GO:0000166","SEPT5A","MF"
"GO:0008234","ZGC:174153","MF"
"GO:0000166","EPHA4B","MF"
"GO:0005525","SEPT4A","MF"
"GO:0003677","NKX2.4B","MF"
"GO:0000166","GK5","MF"
"GO:0046872","MYO9AB","MF"
"GO:0003700","TP63","MF"
"GO:0046872","FDX1","MF"
"GO:0016787","CTSH","MF"
"GO:0000166","PRKCI","MF"
"GO:0016301","HK1","MF"
"GO:0008233","PSEN2","MF"
"GO:0030274","LDB1A","MF"
"GO:0005525","SEPT7B","MF"
"GO:0008083","NDR1","MF"
"GO:0003700","HOXB6A","MF"
"GO:0008237","BMP1A","MF"
"GO:0000166","QARS","MF"
"GO:0008270","LIN28A","MF"
"GO:0003700","FOXH1","MF"
"GO:0005524","CLK4B","MF"
"GO:0003677","SIX6B","MF"
"GO:0005524","AK2","MF"
"GO:0008270","NANOS1","MF"
"GO:0003700","FOXG1A","MF"
"GO:0008270","LIG3","MF"
"GO:0008270","HIVEP1","MF"
"GO:0003735","RPS23","MF"
"GO:0016810","DPYSL4","MF"
"GO:0005509","DLC","MF"
"GO:0003917","TOP1L","MF"
"GO:0003676","PUS7","MF"
"GO:0003735","RPL10","MF"
"GO:0017154","PLXNA1B","MF"
"GO:0005198","CLDN11B","MF"
"GO:0003677","SI:DKEY-68O6.5","MF"
"GO:0005509","SRI","MF"
"GO:0016491","ALKBH6","MF"
"GO:0005524","KIF5AA","MF"
"GO:0016491","PRDX4","MF"
"GO:0003677","HOXD10A","MF"
"GO:0005524","MYO5B","MF"
"GO:0003899","POLR1B","MF"
"GO:0004386","ZGC:193690","MF"
"GO:0005198","KRT17","MF"
"GO:0005524","YME1L1A","MF"
"GO:0004812","VARS","MF"
"GO:0005509","DLD","MF"
"GO:0004820","GARS","MF"
"GO:0018741","SULF2B","MF"
"GO:0052768","PPME1","MF"
"GO:0106276","BLVRA","MF"
"GO:0016491","ZGC:123105","MF"
"GO:0102121","ACER1","MF"
"GO:0036424","PSPH","MF"
"GO:0004714","EPHA7","MF"
"GO:0006417","GRA","BP"
"GO:0007155","CDH5","BP"
"GO:0007275","PAX5","BP"
"GO:0001525","NRP2B","BP"
"GO:0035767","NRP1B","BP"
"GO:0006886","STX6","BP"
"GO:0042981","BCL2L1","BP"
"GO:0006355","HOXA9B","BP"
"GO:0007155","VCL","BP"
"GO:0061181","FAM101B","BP"
"GO:0048013","EFNA1B","BP"
"GO:0000775","CEP131","CC"
"GO:0005634","FOXI1","CC"
"GO:0016459","MYO18AA","CC"
"GO:0016020","RPZ2","CC"
"GO:0030054","CLDNB","CC"
"GO:0005634","CCND1","CC"
"GO:0005882","VIM","CC"
"GO:0016021","LBR","CC"
"GO:0016021","RTN4A","CC"
"GO:0005739","AK2","CC"
"GO:0005739","RNF185","CC"
"GO:0005634","DRGX","CC"
"GO:0005634","HOXC10A","CC"
"GO:0016020","STOM","CC"
"GO:0005634","SURF6","CC"
"GO:0016021","TRDN","CC"
"GO:0005634","FOXO3B","CC"
"GO:0005874","MID2","CC"
"GO:0016021","HPN","CC"
"GO:0005783","SEP15","CC"
"GO:0005856","ANK3A","CC"
"GO:0030054","OLFM1B","CC"
"GO:0005634","ATXN3","CC"
"GO:0005737","CCND1","CC"
"GO:0016020","SEPT2","CC"
"GO:0016021","TSPAN18B","CC"
"GO:0005856","ENSDARG00000078741","CC"
"GO:0000786","ZGC:153409","CC"
"GO:0016021","CD151L","CC"
"GO:0005840","RPL35","CC"
"GO:0005925","TLN2A","CC"
"GO:0005615","SOST","CC"
"GO:0016020","DLC","CC"
"GO:0005840","RPS7","CC"
"GO:0030891","TCEB2","CC"
"GO:0016020","ZGC:154006","CC"
"GO:0016020","NRP2B","CC"
"GO:0000775","SGOL1","CC"
"GO:0000015","ENO2","CC"
"GO:0016020","AQP11","CC"
"GO:0016491","DUOX","MF"
"GO:0051920","PRDX1","MF"
"GO:0007165","MYO9AB","BP"
"GO:0008234","CTSH","MF"
"GO:0005509","ANXA4","MF"
"GO:0006508","NPSN","BP"
"GO:0046872","GLO1","MF"
"GO:0007015","SI:DKEY-152P16.6","BP"
"GO:0016020","STX12","CC"
"GO:0005856","SI:DKEY-152P16.6","CC"
"GO:0005576","PROS1","CC"
"GO:0003677","HOXA9B","MF"
"GO:0003723","EXOSC2","MF"
"GO:0006189","PAICS","BP"
"GO:0051536","FDX1L","MF"
"GO:0016021","MARVELD3","CC"
"GO:0005381","SLC39A14","MF"
"GO:0005384","SLC39A14","MF"
"GO:0005385","SLC39A14","MF"
"GO:0015086","SLC39A14","MF"
"GO:0015296","SLC39A14","MF"
"GO:0006882","SLC39A14","BP"
"GO:0032869","SLC39A14","BP"
"GO:0033212","SLC39A14","BP"
"GO:0034755","SLC39A14","BP"
"GO:0045745","SLC39A14","BP"
"GO:0051344","SLC39A14","BP"
"GO:0070574","SLC39A14","BP"
"GO:0071333","SLC39A14","BP"
"GO:0071421","SLC39A14","BP"
"GO:0071577","SLC39A14","BP"
"GO:0071578","SLC39A14","BP"
"GO:0005765","SLC39A14","CC"
"GO:0005887","SLC39A14","CC"
"GO:0016323","SLC39A14","CC"
"GO:0016324","SLC39A14","CC"
"GO:0031901","SLC39A14","CC"
"GO:0031902","SLC39A14","CC"
"GO:0042802","SLC12A2","MF"
"GO:0005634","ARX","CC"
"GO:0005200","SPTBN1","MF"
"GO:0051693","SPTBN1","BP"
"GO:0016020","COL4A2","CC"
"GO:0005509","PCDH7B","MF"
"GO:0031225","GFRA1A","CC"
"GO:0032264","AMPD2A","BP"
"GO:0003774","FO904953.1","MF"
"GO:0005524","FO904953.1","MF"
"GO:0048471","KIAA0101","CC"
"GO:0030246","LGALS3","MF"
"GO:0031965","ALG14","CC"
"GO:0016567","ASB2B","BP"
"GO:0005758","MICU1","CC"
"GO:0005737","EYA4","CC"
"GO:0005524","MSH6","MF"
"GO:0000776","CKAP5","CC"
"GO:0032587","PSD2","CC"
"GO:0005634","CHD1","CC"
"GO:0005524","PSKH2","MF"
"GO:0001614","P2RX3A","MF"
"GO:0005524","P2RX3A","MF"
"GO:0005887","P2RX3A","CC"
"GO:0005634","JUNBB","CC"
"GO:0005886","FNBP1L","CC"
"GO:0005789","SEC24C","CC"
"GO:0005829","SEC24C","CC"
"GO:0005524","XRCC5","MF"
"GO:0016021","SYNE2B","CC"
"GO:0005737","ACP1","CC"
"GO:0016567","RNF213","BP"
"GO:0005978","UGP2B","BP"
"GO:0005509","PCDH20","MF"
"GO:0008270","SF1","MF"
"GO:0045131","SF1","MF"
"GO:0000398","SF1","BP"
"GO:0005524","PAK1","MF"
"GO:0003723","TRA2A","MF"
"GO:0005634","TCEB3","CC"
"GO:0016020","AKAP12B","CC"
"GO:0005654","CPSF1","CC"
"GO:0005829","NDRG4","CC"
"GO:0006486","B4GALT4","BP"
"GO:0032580","B4GALT4","CC"
"GO:0005789","SEC24A","CC"
"GO:0006909","SI:CH211-233A24.2","BP"
"GO:0005829","SEC24A","CC"
"GO:0005737","SI:DKEY-68O6.5","CC"
"GO:0005524","RPS6KA3A","MF"
"GO:0005789","RTN4B","CC"
"GO:0005765","VPS33A","CC"
"GO:0031902","VPS33A","CC"
"GO:0005737","CXXC4","CC"
"GO:0016567","NEDD4A","BP"
"GO:0016020","LAMB1A","CC"
"GO:0003723","POLDIP3","MF"
"GO:0005856","TLN1","CC"
"GO:0032580","B4GALT7","CC"
